environment,sampling_points,season,Mg,K,Ca,P,Al,V,B,Fe,Cu
Sorojo,C,Wet,317.87,315.8,153.53,0.084,0.248,0.064,"1,832",<LD,0.042
Sorojo,C,Wet,79.11,42.34,24.21,<LD,1.687,0.017,0.405,"1,046",0.044
Sorojo,C,Wet,10.2,11.1,3.61,<LD,1.861,<LD,0.184,"1,444",0.046
Sorojo,C,Wet,7.57,6.88,2.34,<LD,1.574,<LD,0.129,"1,789",0.052
Sorojo,C,Dry,1008.4,811.3,504.2,<LD,<LD,<LD,3.66,<LD,<LD
Sorojo,C,Dry,1109,1037.5,611.2,<LD,<LD,<LD,4.55,<LD,<LD
Sorojo,C,Dry,1224.5,1842.1,782.7,<LD,<LD,<LD,4.95,<LD,<LD
Sorojo,C,Dry,843.8,857.2,580.1,0.075,<LD,<LD,4.27,<LD,<LD
Sorojo,C,Dry,891.3,708.2,524.3,<LD,<LD,<LD,3.86,<LD,<LD
Sorojo,C,Dry,340.4,271.5,134.1,<LD,<LD,<LD,1.81,<LD,<LD
Sorojo,C,Dry,326.7,183.9,113.6,<LD,<LD,<LD,3.1,<LD,<LD
Sorojo,C,Dry,635.7,786.5,392.4,<LD,<LD,<LD,4.04,<LD,<LD
Sorojo,C,Dry,1223.5,1086,723.2,<LD,<LD,0.069,4.69,<LD,<LD
Sorojo,C,Dry,870.7,544.1,412.3,<LD,<LD,0.057,2.7,<LD,<LD
Marau,S1,Wet,242.5,374.03,98.39,<LD,<LD,0.057,"1,747",<LD,0.043
Marau,S1,Wet,256.43,298.65,113.1,<LD,0.197,0.042,"1,515",<LD,0.052
Marau,S1,Wet,304.37,313.8,139.5,<LD,0.451,0.073,"2,050",0.657,0.055
Marau,S1,Wet,247,229.83,96.8,<LD,0.162,0.036,"1,484",<LD,0.054
Marau,S1,Wet,209.15,170.1,78.14,<LD,<LD,0.036,"1,486",<LD,0.051
Marau,S1,Wet,164.8,105.97,49.54,<LD,<LD,0.055,"1,045",<LD,0.055
Marau,S1,Wet,30.03,19.37,19.64,<LD,<LD,0.032,0.797,<LD,0.055
Marau,S1,Wet,148.97,108.2,38.88,<LD,0.064,0.019,0.631,<LD,0.059
Marau,S1,Wet,84.12,51.86,22.58,<LD,0.068,<LD,0.379,<LD,0.058
Marau,S1,Wet,30.5,21.27,7.21,<LD,0.209,<LD,0.208,<LD,0.057
Marau,S1,Dry,1109.8,1501.5,648.6,<LD,<LD,<LD,5.92,<LD,<LD
Marau,S1,Dry,1280.5,1502,924.6,<LD,<LD,0.048,6.15,<LD,<LD
Marau,S1,Dry,1257,1413,850,<LD,<LD,0.033,5.51,<LD,<LD
Marau,S1,Dry,1226.3,1323.7,800.7,<LD,<LD,0.016,5.29,<LD,<LD
Marau,S1,Dry,1202.5,1286,776,0.056,<LD,0.022,5.47,<LD,<LD
Marau,S1,Dry,1203,1216,773.9,<LD,<LD,0.022,5.41,<LD,<LD
Marau,S1,Dry,1098.7,964.8,629.3,<LD,<LD,0.012,4.27,<LD,<LD
Marau,S1,Dry,1059,960.1,616.9,<LD,<LD,0.025,3.99,<LD,<LD
Marau,S1,Dry,779,537.7,366.5,<LD,<LD,0.057,2.25,<LD,<LD
Marau,S1,Dry,524.9,286.9,202.1,<LD,<LD,<LD,1.12,<LD,<LD
